# VAMPIRE TEST REPORT - PORTFOLIO
# Strategy: fixed axioms portfolio, first success wins
# Generated: 2025-12-30 20:42:17
# Timeout: 61s per attempt
# Axioms order: DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff, DateArithmetic_Best1_PORTFOLIO.tff, DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff
# Raw logs dir: raw_logs
##############################################################################################################
Test                           |     Time | Status               | Result    | Trace
test_fwd_M7_35 |   1933 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1933ms
test_fwd_M8_35 |   1964 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1964ms
test_fwd_M9_35 |   1935 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1935ms
test_fwd_M10_35 |   1922 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1922ms
test_back_M2_N5 |   1952 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1952ms
test_back_M3_N5 |   1924 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1924ms
test_back_M4_N5 |   1942 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1942ms
test_back_M5_N5 |   1981 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1981ms
test_back_M6_N5 |   1958 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1958ms
test_back_M7_N5 |   1973 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1973ms
test_back_M8_N5 |   1919 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1919ms
test_back_M9_N5 |   1908 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1908ms
